KNOTE,BEZEI,CITY,REGIO
PI2200103,Agricolândia - PI,Agricolândia,PI
PI2200202,Água Branca - PI,Água Branca,PI
PI2200251,Alagoinha Do Piauí - PI,Alagoinha Do Piauí,PI
PI2200277,Alegrete Do Piauí - PI,Alegrete Do Piauí,PI
PI2200301,Alto Longá - PI,Alto Longá,PI
PI2200400,Altos - PI,Altos,PI
PI2200459,Alvorada Do Gurguéia - PI,Alvorada Do Gurguéia,PI
PI2200509,Amarante - PI,Amarante,PI
PI2200608,Angical Do Piauí - PI,Angical Do Piauí,PI
PI2200707,Anísio De Abreu - PI,Anísio De Abreu,PI
PI2200806,Antônio Almeida - PI,Antônio Almeida,PI
PI2200905,Aroazes - PI,Aroazes,PI
PI2200954,Aroeiras Do Itaim - PI,Aroeiras Do Itaim,PI
PI2201002,Arraial - PI,Arraial,PI
PI2201051,Assunção Do Piauí - PI,Assunção Do Piauí,PI
PI2201101,Avelino Lopes - PI,Avelino Lopes,PI
PI2201150,Baixa Grande Do Ribeiro - PI,Baixa Grande Do Ribeiro,PI
PI2201176,Barra D´Alcântara - PI,Barra D´Alcântara,PI
PI2201200,Barras - PI,Barras,PI
PI2201309,Barreiras Do Piauí - PI,Barreiras Do Piauí,PI
PI2201408,Barro Duro - PI,Barro Duro,PI
PI2201507,Batalha - PI,Batalha,PI
PI2201556,Bela Vista Do Piauí - PI,Bela Vista Do Piauí,PI
PI2201572,Belém Do Piauí - PI,Belém Do Piauí,PI
PI2201606,Beneditinos - PI,Beneditinos,PI
PI2201705,Bertolínia - PI,Bertolínia,PI
PI2201739,Betânia Do Piauí - PI,Betânia Do Piauí,PI
PI2201770,Boa Hora - PI,Boa Hora,PI
PI2201804,Bocaina - PI,Bocaina,PI
PI2201903,Bom Jesus - PI,Bom Jesus,PI
PI2201919,Bom Princípio Do Piauí - PI,Bom Princípio Do Piauí,PI
PI2201929,Bonfim Do Piauí - PI,Bonfim Do Piauí,PI
PI2201945,Boqueirão Do Piauí - PI,Boqueirão Do Piauí,PI
PI2201960,Brasileira - PI,Brasileira,PI
PI2201988,Brejo Do Piauí - PI,Brejo Do Piauí,PI
PI2202000,Buriti Dos Lopes - PI,Buriti Dos Lopes,PI
PI2202026,Buriti Dos Montes - PI,Buriti Dos Montes,PI
PI2202059,Cabeceiras Do Piauí - PI,Cabeceiras Do Piauí,PI
PI2202075,Cajazeiras Do Piauí - PI,Cajazeiras Do Piauí,PI
PI2202083,Cajueiro Da Praia - PI,Cajueiro Da Praia,PI
PI2202091,Caldeirão Grande Do Piauí - PI,Caldeirão Grande Do Piauí,PI
PI2202109,Campinas Do Piauí - PI,Campinas Do Piauí,PI
PI2202117,Campo Alegre Do Fidalgo - PI,Campo Alegre Do Fidalgo,PI
PI2202133,Campo Grande Do Piauí - PI,Campo Grande Do Piauí,PI
PI2202174,Campo Largo Do Piauí - PI,Campo Largo Do Piauí,PI
PI2202208,Campo Maior - PI,Campo Maior,PI
PI2202251,Canavieira - PI,Canavieira,PI
PI2202307,Canto Do Buriti - PI,Canto Do Buriti,PI
PI2202406,Capitão De Campos - PI,Capitão De Campos,PI
PI2202455,Capitão Gervásio Oliveira - PI,Capitão Gervásio Oliveira,PI
PI2202505,Caracol - PI,Caracol,PI
PI2202539,Caraúbas Do Piauí - PI,Caraúbas Do Piauí,PI
PI2202554,Caridade Do Piauí - PI,Caridade Do Piauí,PI
PI2202604,Castelo Do Piauí - PI,Castelo Do Piauí,PI
PI2202653,Caxingó - PI,Caxingó,PI
PI2202703,Cocal - PI,Cocal,PI
PI2202711,Cocal De Telha - PI,Cocal De Telha,PI
PI2202729,Cocal Dos Alves - PI,Cocal Dos Alves,PI
PI2202737,Coivaras - PI,Coivaras,PI
PI2202752,Colônia Do Gurguéia - PI,Colônia Do Gurguéia,PI
PI2202778,Colônia Do Piauí - PI,Colônia Do Piauí,PI
PI2202802,Conceição Do Canindé - PI,Conceição Do Canindé,PI
PI2202851,Coronel José Dias - PI,Coronel José Dias,PI
PI2202901,Corrente - PI,Corrente,PI
PI2203008,Cristalândia Do Piauí - PI,Cristalândia Do Piauí,PI
PI2203107,Cristino Castro - PI,Cristino Castro,PI
PI2203206,Curimatá - PI,Curimatá,PI
PI2203230,Currais - PI,Currais,PI
PI2203255,Curralinhos - PI,Curralinhos,PI
PI2203271,Curral Novo Do Piauí - PI,Curral Novo Do Piauí,PI
PI2203305,Demerval Lobão - PI,Demerval Lobão,PI
PI2203354,Dirceu Arcoverde - PI,Dirceu Arcoverde,PI
PI2203404,Dom Expedito Lopes - PI,Dom Expedito Lopes,PI
PI2203420,Domingos Mourão - PI,Domingos Mourão,PI
PI2203453,Dom Inocêncio - PI,Dom Inocêncio,PI
PI2203503,Elesbão Veloso - PI,Elesbão Veloso,PI
PI2203602,Eliseu Martins - PI,Eliseu Martins,PI
PI2203701,Esperantina - PI,Esperantina,PI
PI2203750,Fartura Do Piauí - PI,Fartura Do Piauí,PI
PI2203800,Flores Do Piauí - PI,Flores Do Piauí,PI
PI2203859,Floresta Do Piauí - PI,Floresta Do Piauí,PI
PI2203909,Floriano - PI,Floriano,PI
PI2204006,Francinópolis - PI,Francinópolis,PI
PI2204105,Francisco Ayres - PI,Francisco Ayres,PI
PI2204154,Francisco Macedo - PI,Francisco Macedo,PI
PI2204204,Francisco Santos - PI,Francisco Santos,PI
PI2204303,Fronteiras - PI,Fronteiras,PI
PI2204352,Geminiano - PI,Geminiano,PI
PI2204402,Gilbués - PI,Gilbués,PI
PI2204501,Guadalupe - PI,Guadalupe,PI
PI2204550,Guaribas - PI,Guaribas,PI
PI2204600,Hugo Napoleão - PI,Hugo Napoleão,PI
PI2204659,Ilha Grande - PI,Ilha Grande,PI
PI2204709,Inhuma - PI,Inhuma,PI
PI2204808,Ipiranga Do Piauí - PI,Ipiranga Do Piauí,PI
PI2204907,Isaías Coelho - PI,Isaías Coelho,PI
PI2205003,Itainópolis - PI,Itainópolis,PI
PI2205102,Itaueira - PI,Itaueira,PI
PI2205151,Jacobina Do Piauí - PI,Jacobina Do Piauí,PI
PI2205201,Jaicós - PI,Jaicós,PI
PI2205250,Jardim Do Mulato - PI,Jardim Do Mulato,PI
PI2205276,Jatobá Do Piauí - PI,Jatobá Do Piauí,PI
PI2205300,Jerumenha - PI,Jerumenha,PI
PI2205359,João Costa - PI,João Costa,PI
PI2205409,Joaquim Pires - PI,Joaquim Pires,PI
PI2205458,Joca Marques - PI,Joca Marques,PI
PI2205508,José De Freitas - PI,José De Freitas,PI
PI2205516,Juazeiro Do Piauí - PI,Juazeiro Do Piauí,PI
PI2205524,Júlio Borges - PI,Júlio Borges,PI
PI2205532,Jurema - PI,Jurema,PI
PI2205540,Lagoinha Do Piauí - PI,Lagoinha Do Piauí,PI
PI2205557,Lagoa Alegre - PI,Lagoa Alegre,PI
PI2205565,Lagoa Do Barro Do Piauí - PI,Lagoa Do Barro Do Piauí,PI
PI2205573,Lagoa De São Francisco - PI,Lagoa De São Francisco,PI
PI2205581,Lagoa Do Piauí - PI,Lagoa Do Piauí,PI
PI2205599,Lagoa Do Sítio - PI,Lagoa Do Sítio,PI
PI2205607,Landri Sales - PI,Landri Sales,PI
PI2205706,Luís Correia - PI,Luís Correia,PI
PI2205805,Luzilândia - PI,Luzilândia,PI
PI2205854,Madeiro - PI,Madeiro,PI
PI2205904,Manoel Emídio - PI,Manoel Emídio,PI
PI2205953,Marcolândia - PI,Marcolândia,PI
PI2206001,Marcos Parente - PI,Marcos Parente,PI
PI2206050,Massapê Do Piauí - PI,Massapê Do Piauí,PI
PI2206100,Matias Olímpio - PI,Matias Olímpio,PI
PI2206209,Miguel Alves - PI,Miguel Alves,PI
PI2206308,Miguel Leão - PI,Miguel Leão,PI
PI2206357,Milton Brandão - PI,Milton Brandão,PI
PI2206407,Monsenhor Gil - PI,Monsenhor Gil,PI
PI2206506,Monsenhor Hipólito - PI,Monsenhor Hipólito,PI
PI2206605,Monte Alegre Do Piauí - PI,Monte Alegre Do Piauí,PI
PI2206654,Morro Cabeça No Tempo - PI,Morro Cabeça No Tempo,PI
PI2206670,Morro Do Chapéu Do Piauí - PI,Morro Do Chapéu Do Piauí,PI
PI2206696,Murici Dos Portelas - PI,Murici Dos Portelas,PI
PI2206704,Nazaré Do Piauí - PI,Nazaré Do Piauí,PI
PI2206720,Nazária - PI,Nazária,PI
PI2206753,Nossa Senhora De Nazaré - PI,Nossa Senhora De Nazaré,PI
PI2206803,Nossa Senhora Dos Remédios - PI,Nossa Senhora Dos Remédios,PI
PI2206902,Novo Oriente Do Piauí - PI,Novo Oriente Do Piauí,PI
PI2206951,Novo Santo Antônio - PI,Novo Santo Antônio,PI
PI2207009,Oeiras - PI,Oeiras,PI
PI2207108,Olho D´Água Do Piauí - PI,Olho D´Água Do Piauí,PI
PI2207207,Padre Marcos - PI,Padre Marcos,PI
PI2207306,Paes Landim - PI,Paes Landim,PI
PI2207355,Pajeú Do Piauí - PI,Pajeú Do Piauí,PI
PI2207405,Palmeira Do Piauí - PI,Palmeira Do Piauí,PI
PI2207504,Palmeirais - PI,Palmeirais,PI
PI2207553,Paquetá - PI,Paquetá,PI
PI2207603,Parnaguá - PI,Parnaguá,PI
PI2207702,Parnaíba - PI,Parnaíba,PI
PI2207751,Passagem Franca Do Piauí - PI,Passagem Franca Do Piauí,PI
PI2207777,Patos Do Piauí - PI,Patos Do Piauí,PI
PI2207793,Pau D´Arco Do Piauí - PI,Pau D´Arco Do Piauí,PI
PI2207801,Paulistana - PI,Paulistana,PI
PI2207850,Pavussu - PI,Pavussu,PI
PI2207900,Pedro Ii - PI,Pedro Ii,PI
PI2207934,Pedro Laurentino - PI,Pedro Laurentino,PI
PI2207959,Nova Santa Rita - PI,Nova Santa Rita,PI
PI2208007,Picos - PI,Picos,PI
PI2208106,Pimenteiras - PI,Pimenteiras,PI
PI2208205,Pio Ix - PI,Pio Ix,PI
PI2208304,Piracuruca - PI,Piracuruca,PI
PI2208403,Piripiri - PI,Piripiri,PI
PI2208502,Porto - PI,Porto,PI
PI2208551,Porto Alegre Do Piauí - PI,Porto Alegre Do Piauí,PI
PI2208601,Prata Do Piauí - PI,Prata Do Piauí,PI
PI2208650,Queimada Nova - PI,Queimada Nova,PI
PI2208700,Redenção Do Gurguéia - PI,Redenção Do Gurguéia,PI
PI2208809,Regeneração - PI,Regeneração,PI
PI2208858,Riacho Frio - PI,Riacho Frio,PI
PI2208874,Ribeira Do Piauí - PI,Ribeira Do Piauí,PI
PI2208908,Ribeiro Gonçalves - PI,Ribeiro Gonçalves,PI
PI2209005,Rio Grande Do Piauí - PI,Rio Grande Do Piauí,PI
PI2209104,Santa Cruz Do Piauí - PI,Santa Cruz Do Piauí,PI
PI2209153,Santa Cruz Dos Milagres - PI,Santa Cruz Dos Milagres,PI
PI2209203,Santa Filomena - PI,Santa Filomena,PI
PI2209302,Santa Luz - PI,Santa Luz,PI
PI2209351,Santana Do Piauí - PI,Santana Do Piauí,PI
PI2209377,Santa Rosa Do Piauí - PI,Santa Rosa Do Piauí,PI
PI2209401,Santo Antônio De Lisboa - PI,Santo Antônio De Lisboa,PI
PI2209450,Santo Antônio Dos Milagres - PI,Santo Antônio Dos Milagres,PI
PI2209500,Santo Inácio Do Piauí - PI,Santo Inácio Do Piauí,PI
PI2209559,São Braz Do Piauí - PI,São Braz Do Piauí,PI
PI2209609,São Félix Do Piauí - PI,São Félix Do Piauí,PI
PI2209658,São Francisco De Assis Do Piauí - PI,São Francisco De Assis Do Piauí,PI
PI2209708,São Francisco Do Piauí - PI,São Francisco Do Piauí,PI
PI2209757,São Gonçalo Do Gurguéia - PI,São Gonçalo Do Gurguéia,PI
PI2209807,São Gonçalo Do Piauí - PI,São Gonçalo Do Piauí,PI
PI2209856,São João Da Canabrava - PI,São João Da Canabrava,PI
PI2209872,São João Da Fronteira - PI,São João Da Fronteira,PI
PI2209906,São João Da Serra - PI,São João Da Serra,PI
PI2209955,São João Da Varjota - PI,São João Da Varjota,PI
PI2209971,São João Do Arraial - PI,São João Do Arraial,PI
PI2210003,São João Do Piauí - PI,São João Do Piauí,PI
PI2210052,São José Do Divino - PI,São José Do Divino,PI
PI2210102,São José Do Peixe - PI,São José Do Peixe,PI
PI2210201,São José Do Piauí - PI,São José Do Piauí,PI
PI2210300,São Julião - PI,São Julião,PI
PI2210359,São Lourenço Do Piauí - PI,São Lourenço Do Piauí,PI
PI2210375,São Luis Do Piauí - PI,São Luis Do Piauí,PI
PI2210383,São Miguel Da Baixa Grande - PI,São Miguel Da Baixa Grande,PI
PI2210391,São Miguel Do Fidalgo - PI,São Miguel Do Fidalgo,PI
PI2210409,São Miguel Do Tapuio - PI,São Miguel Do Tapuio,PI
PI2210508,São Pedro Do Piauí - PI,São Pedro Do Piauí,PI
PI2210607,São Raimundo Nonato - PI,São Raimundo Nonato,PI
PI2210623,Sebastião Barros - PI,Sebastião Barros,PI
PI2210631,Sebastião Leal - PI,Sebastião Leal,PI
PI2210656,Sigefredo Pacheco - PI,Sigefredo Pacheco,PI
PI2210706,Simões - PI,Simões,PI
PI2210805,Simplício Mendes - PI,Simplício Mendes,PI
PI2210904,Socorro Do Piauí - PI,Socorro Do Piauí,PI
PI2210938,Sussuapara - PI,Sussuapara,PI
PI2210953,Tamboril Do Piauí - PI,Tamboril Do Piauí,PI
PI2210979,Tanque Do Piauí - PI,Tanque Do Piauí,PI
PI2211001,Teresina - PI,Teresina,PI
PI2211100,União - PI,União,PI
PI2211209,Uruçuí - PI,Uruçuí,PI
PI2211308,Valença Do Piauí - PI,Valença Do Piauí,PI
PI2211357,Várzea Branca - PI,Várzea Branca,PI
PI2211407,Várzea Grande - PI,Várzea Grande,PI
PI2211506,Vera Mendes - PI,Vera Mendes,PI
PI2211605,Vila Nova Do Piauí - PI,Vila Nova Do Piauí,PI
PI2211704,Wall Ferraz - PI,Wall Ferraz,PI
PR4100103,Abatiá - PR,Abatiá,PR
PR4100202,Adrianópolis - PR,Adrianópolis,PR
PR4100301,Agudos Do Sul - PR,Agudos Do Sul,PR
PR4100400,Almirante Tamandaré - PR,Almirante Tamandaré,PR
PR4100459,Altamira Do Paraná - PR,Altamira Do Paraná,PR
PR4100509,Altônia - PR,Altônia,PR
PR4100608,Alto Paraná - PR,Alto Paraná,PR
PR4100707,Alto Piquiri - PR,Alto Piquiri,PR
PR4100806,Alvorada Do Sul - PR,Alvorada Do Sul,PR
PR4100905,Amaporã - PR,Amaporã,PR
PR4101002,Ampére - PR,Ampére,PR
PR4101051,Anahy - PR,Anahy,PR
PR4101101,Andirá - PR,Andirá,PR
PR4101150,Ângulo - PR,Ângulo,PR
PR4101200,Antonina - PR,Antonina,PR
PR4101309,Antônio Olinto - PR,Antônio Olinto,PR
PR4101408,Apucarana - PR,Apucarana,PR
PR4101507,Arapongas - PR,Arapongas,PR
PR4101606,Arapoti - PR,Arapoti,PR
PR4101655,Arapuã - PR,Arapuã,PR
PR4101705,Araruna - PR,Araruna,PR
PR4101804,Araucária - PR,Araucária,PR
PR4101853,Ariranha Do Ivaí - PR,Ariranha Do Ivaí,PR
PR4101903,Assaí - PR,Assaí,PR
PR4102000,Assis Chateaubriand - PR,Assis Chateaubriand,PR
PR4102109,Astorga - PR,Astorga,PR
PR4102208,Atalaia - PR,Atalaia,PR
PR4102307,Balsa Nova - PR,Balsa Nova,PR
PR4102406,Bandeirantes - PR,Bandeirantes,PR
PR4102505,Barbosa Ferraz - PR,Barbosa Ferraz,PR
PR4102604,Barracão - PR,Barracão,PR
PR4102703,Barra Do Jacaré - PR,Barra Do Jacaré,PR
PR4102752,Bela Vista Da Caroba - PR,Bela Vista Da Caroba,PR
PR4102802,Bela Vista Do Paraíso - PR,Bela Vista Do Paraíso,PR
PR4102901,Bituruna - PR,Bituruna,PR
PR4103008,Boa Esperança - PR,Boa Esperança,PR
PR4103024,Boa Esperança Do Iguaçu - PR,Boa Esperança Do Iguaçu,PR
PR4103040,Boa Ventura De São Roque - PR,Boa Ventura De São Roque,PR
PR4103057,Boa Vista Da Aparecida - PR,Boa Vista Da Aparecida,PR
PR4103107,Bocaiúva Do Sul - PR,Bocaiúva Do Sul,PR
PR4103156,Bom Jesus Do Sul - PR,Bom Jesus Do Sul,PR
PR4103206,Bom Sucesso - PR,Bom Sucesso,PR
PR4103222,Bom Sucesso Do Sul - PR,Bom Sucesso Do Sul,PR
PR4103305,Borrazópolis - PR,Borrazópolis,PR
PR4103354,Braganey - PR,Braganey,PR
PR4103370,Brasilândia Do Sul - PR,Brasilândia Do Sul,PR
PR4103404,Cafeara - PR,Cafeara,PR
PR4103453,Cafelândia - PR,Cafelândia,PR
PR4103479,Cafezal Do Sul - PR,Cafezal Do Sul,PR
PR4103503,Califórnia - PR,Califórnia,PR
PR4103602,Cambará - PR,Cambará,PR
PR4103701,Cambé - PR,Cambé,PR
PR4103800,Cambira - PR,Cambira,PR
PR4103909,Campina Da Lagoa - PR,Campina Da Lagoa,PR
PR4103958,Campina Do Simão - PR,Campina Do Simão,PR
PR4104006,Campina Grande Do Sul - PR,Campina Grande Do Sul,PR
PR4104055,Campo Bonito - PR,Campo Bonito,PR
PR4104105,Campo Do Tenente - PR,Campo Do Tenente,PR
PR4104204,Campo Largo - PR,Campo Largo,PR
PR4104253,Campo Magro - PR,Campo Magro,PR
PR4104303,Campo Mourão - PR,Campo Mourão,PR
PR4104402,Cândido De Abreu - PR,Cândido De Abreu,PR
PR4104428,Candói - PR,Candói,PR
PR4104451,Cantagalo - PR,Cantagalo,PR
PR4104501,Capanema - PR,Capanema,PR
PR4104600,Capitão Leônidas Marques - PR,Capitão Leônidas Marques,PR
PR4104659,Carambeí - PR,Carambeí,PR
PR4104709,Carlópolis - PR,Carlópolis,PR
PR4104808,Cascavel - PR,Cascavel,PR
PR4104907,Castro - PR,Castro,PR
PR4105003,Catanduvas - PR,Catanduvas,PR
PR4105102,Centenário Do Sul - PR,Centenário Do Sul,PR
PR4105201,Cerro Azul - PR,Cerro Azul,PR
PR4105300,Céu Azul - PR,Céu Azul,PR
PR4105409,Chopinzinho - PR,Chopinzinho,PR
PR4105508,Cianorte - PR,Cianorte,PR
PR4105607,Cidade Gaúcha - PR,Cidade Gaúcha,PR
PR4105706,Clevelândia - PR,Clevelândia,PR
PR4105805,Colombo - PR,Colombo,PR
PR4105904,Colorado - PR,Colorado,PR
PR4106001,Congonhinhas - PR,Congonhinhas,PR
PR4106100,Conselheiro Mairinck - PR,Conselheiro Mairinck,PR
PR4106209,Contenda - PR,Contenda,PR
PR4106308,Corbélia - PR,Corbélia,PR
PR4106407,Cornélio Procópio - PR,Cornélio Procópio,PR
PR4106456,Coronel Domingos Soares - PR,Coronel Domingos Soares,PR
PR4106506,Coronel Vivida - PR,Coronel Vivida,PR
PR4106555,Corumbataí Do Sul - PR,Corumbataí Do Sul,PR
PR4106571,Cruzeiro Do Iguaçu - PR,Cruzeiro Do Iguaçu,PR
PR4106605,Cruzeiro Do Oeste - PR,Cruzeiro Do Oeste,PR
PR4106704,Cruzeiro Do Sul - PR,Cruzeiro Do Sul,PR
PR4106803,Cruz Machado - PR,Cruz Machado,PR
PR4106852,Cruzmaltina - PR,Cruzmaltina,PR
PR4106902,Curitiba - PR,Curitiba,PR
PR4107009,Curiúva - PR,Curiúva,PR
PR4107108,Diamante Do Norte - PR,Diamante Do Norte,PR
PR4107124,Diamante Do Sul - PR,Diamante Do Sul,PR
PR4107157,Diamante D´Oeste - PR,Diamante D´Oeste,PR
PR4107207,Dois Vizinhos - PR,Dois Vizinhos,PR
PR4107256,Douradina - PR,Douradina,PR
PR4107306,Doutor Camargo - PR,Doutor Camargo,PR
PR4107405,Enéas Marques - PR,Enéas Marques,PR
PR4107504,Engenheiro Beltrão - PR,Engenheiro Beltrão,PR
PR4107520,Esperança Nova - PR,Esperança Nova,PR
PR4107538,Entre Rios Do Oeste - PR,Entre Rios Do Oeste,PR
PR4107546,Espigão Alto Do Iguaçu - PR,Espigão Alto Do Iguaçu,PR
PR4107553,Farol - PR,Farol,PR
PR4107603,Faxinal - PR,Faxinal,PR
PR4107652,Fazenda Rio Grande - PR,Fazenda Rio Grande,PR
PR4107702,Fênix - PR,Fênix,PR
PR4107736,Fernandes Pinheiro - PR,Fernandes Pinheiro,PR
PR4107751,Figueira - PR,Figueira,PR
PR4107801,Floraí - PR,Floraí,PR
PR4107850,Flor Da Serra Do Sul - PR,Flor Da Serra Do Sul,PR
PR4107900,Floresta - PR,Floresta,PR
PR4108007,Florestópolis - PR,Florestópolis,PR
PR4108106,Flórida - PR,Flórida,PR
PR4108205,Formosa Do Oeste - PR,Formosa Do Oeste,PR
PR4108304,Foz Do Iguaçu - PR,Foz Do Iguaçu,PR
PR4108320,Francisco Alves - PR,Francisco Alves,PR
PR4108403,Francisco Beltrão - PR,Francisco Beltrão,PR
PR4108452,Foz Do Jordão - PR,Foz Do Jordão,PR
PR4108502,General Carneiro - PR,General Carneiro,PR
PR4108551,Godoy Moreira - PR,Godoy Moreira,PR
PR4108601,Goioerê - PR,Goioerê,PR
PR4108650,Goioxim - PR,Goioxim,PR
PR4108700,Grandes Rios - PR,Grandes Rios,PR
PR4108809,Guaíra - PR,Guaíra,PR
PR4108908,Guairaçá - PR,Guairaçá,PR
PR4108957,Guamiranga - PR,Guamiranga,PR
PR4109005,Guapirama - PR,Guapirama,PR
PR4109104,Guaporema - PR,Guaporema,PR
PR4109203,Guaraci - PR,Guaraci,PR
PR4109302,Guaraniaçu - PR,Guaraniaçu,PR
PR4109401,Guarapuava - PR,Guarapuava,PR
PR4109500,Guaraqueçaba - PR,Guaraqueçaba,PR
PR4109609,Guaratuba - PR,Guaratuba,PR
PR4109658,Honório Serpa - PR,Honório Serpa,PR
PR4109708,Ibaiti - PR,Ibaiti,PR
PR4109757,Ibema - PR,Ibema,PR
PR4109807,Ibiporã - PR,Ibiporã,PR
PR4109906,Icaraíma - PR,Icaraíma,PR
PR4110003,Iguaraçu - PR,Iguaraçu,PR
PR4110052,Iguatu - PR,Iguatu,PR
PR4110078,Imbaú - PR,Imbaú,PR
PR4110102,Imbituva - PR,Imbituva,PR
PR4110201,Inácio Martins - PR,Inácio Martins,PR
PR4110300,Inajá - PR,Inajá,PR
PR4110409,Indianópolis - PR,Indianópolis,PR
PR4110508,Ipiranga - PR,Ipiranga,PR
PR4110607,Iporã - PR,Iporã,PR
PR4110656,Iracema Do Oeste - PR,Iracema Do Oeste,PR
PR4110706,Irati - PR,Irati,PR
PR4110805,Iretama - PR,Iretama,PR
PR4110904,Itaguajé - PR,Itaguajé,PR
PR4110953,Itaipulândia - PR,Itaipulândia,PR
PR4111001,Itambaracá - PR,Itambaracá,PR
PR4111100,Itambé - PR,Itambé,PR
PR4111209,Itapejara D´Oeste - PR,Itapejara D´Oeste,PR
PR4111258,Itaperuçu - PR,Itaperuçu,PR
PR4111308,Itaúna Do Sul - PR,Itaúna Do Sul,PR
PR4111407,Ivaí - PR,Ivaí,PR
PR4111506,Ivaiporã - PR,Ivaiporã,PR
PR4111555,Ivaté - PR,Ivaté,PR
PR4111605,Ivatuba - PR,Ivatuba,PR
PR4111704,Jaboti - PR,Jaboti,PR
PR4111803,Jacarezinho - PR,Jacarezinho,PR
PR4111902,Jaguapitã - PR,Jaguapitã,PR
PR4112009,Jaguariaíva - PR,Jaguariaíva,PR
PR4112108,Jandaia Do Sul - PR,Jandaia Do Sul,PR
PR4112207,Janiópolis - PR,Janiópolis,PR
PR4112306,Japira - PR,Japira,PR
PR4112405,Japurá - PR,Japurá,PR
PR4112504,Jardim Alegre - PR,Jardim Alegre,PR
PR4112603,Jardim Olinda - PR,Jardim Olinda,PR
PR4112702,Jataizinho - PR,Jataizinho,PR
PR4112751,Jesuítas - PR,Jesuítas,PR
PR4112801,Joaquim Távora - PR,Joaquim Távora,PR
PR4112900,Jundiaí Do Sul - PR,Jundiaí Do Sul,PR
PR4112959,Juranda - PR,Juranda,PR
PR4113007,Jussara - PR,Jussara,PR
PR4113106,Kaloré - PR,Kaloré,PR
PR4113205,Lapa - PR,Lapa,PR
PR4113254,Laranjal - PR,Laranjal,PR
PR4113304,Laranjeiras Do Sul - PR,Laranjeiras Do Sul,PR
PR4113403,Leópolis - PR,Leópolis,PR
PR4113429,Lidianópolis - PR,Lidianópolis,PR
PR4113452,Lindoeste - PR,Lindoeste,PR
PR4113502,Loanda - PR,Loanda,PR
PR4113601,Lobato - PR,Lobato,PR
PR4113700,Londrina - PR,Londrina,PR
PR4113734,Luiziana - PR,Luiziana,PR
PR4113759,Lunardelli - PR,Lunardelli,PR
PR4113809,Lupionópolis - PR,Lupionópolis,PR
PR4113908,Mallet - PR,Mallet,PR
PR4114005,Mamborê - PR,Mamborê,PR
PR4114104,Mandaguaçu - PR,Mandaguaçu,PR
PR4114203,Mandaguari - PR,Mandaguari,PR
PR4114302,Mandirituba - PR,Mandirituba,PR
PR4114351,Manfrinópolis - PR,Manfrinópolis,PR
PR4114401,Mangueirinha - PR,Mangueirinha,PR
PR4114500,Manoel Ribas - PR,Manoel Ribas,PR
PR4114609,Marechal Cândido Rondon - PR,Marechal Cândido Rondon,PR
PR4114708,Maria Helena - PR,Maria Helena,PR
PR4114807,Marialva - PR,Marialva,PR
PR4114906,Marilândia Do Sul - PR,Marilândia Do Sul,PR
PR4115002,Marilena - PR,Marilena,PR
PR4115101,Mariluz - PR,Mariluz,PR
PR4115200,Maringá - PR,Maringá,PR
PR4115309,Mariópolis - PR,Mariópolis,PR
PR4115358,Maripá - PR,Maripá,PR
PR4115408,Marmeleiro - PR,Marmeleiro,PR
PR4115457,Marquinho - PR,Marquinho,PR
PR4115507,Marumbi - PR,Marumbi,PR
PR4115606,Matelândia - PR,Matelândia,PR
PR4115705,Matinhos - PR,Matinhos,PR
PR4115739,Mato Rico - PR,Mato Rico,PR
PR4115754,Mauá Da Serra - PR,Mauá Da Serra,PR
PR4115804,Medianeira - PR,Medianeira,PR
PR4115853,Mercedes - PR,Mercedes,PR
PR4115903,Mirador - PR,Mirador,PR
PR4116000,Miraselva - PR,Miraselva,PR
PR4116059,Missal - PR,Missal,PR
PR4116109,Moreira Sales - PR,Moreira Sales,PR
PR4116208,Morretes - PR,Morretes,PR
PR4116307,Munhoz De Melo - PR,Munhoz De Melo,PR
PR4116406,Nossa Senhora Das Graças - PR,Nossa Senhora Das Graças,PR
PR4116505,Nova Aliança Do Ivaí - PR,Nova Aliança Do Ivaí,PR
PR4116604,Nova América Da Colina - PR,Nova América Da Colina,PR
PR4116703,Nova Aurora - PR,Nova Aurora,PR
PR4116802,Nova Cantu - PR,Nova Cantu,PR
PR4116901,Nova Esperança - PR,Nova Esperança,PR
PR4116950,Nova Esperança Do Sudoeste - PR,Nova Esperança Do Sudoeste,PR
PR4117008,Nova Fátima - PR,Nova Fátima,PR
PR4117057,Nova Laranjeiras - PR,Nova Laranjeiras,PR
PR4117107,Nova Londrina - PR,Nova Londrina,PR
PR4117206,Nova Olímpia - PR,Nova Olímpia,PR
PR4117214,Nova Santa Bárbara - PR,Nova Santa Bárbara,PR
PR4117222,Nova Santa Rosa - PR,Nova Santa Rosa,PR
PR4117255,Nova Prata Do Iguaçu - PR,Nova Prata Do Iguaçu,PR
PR4117271,Nova Tebas - PR,Nova Tebas,PR
PR4117297,Novo Itacolomi - PR,Novo Itacolomi,PR
PR4117305,Ortigueira - PR,Ortigueira,PR
PR4117404,Ourizona - PR,Ourizona,PR
PR4117453,Ouro Verde Do Oeste - PR,Ouro Verde Do Oeste,PR
PR4117503,Paiçandu - PR,Paiçandu,PR
PR4117602,Palmas - PR,Palmas,PR
PR4117701,Palmeira - PR,Palmeira,PR
PR4117800,Palmital - PR,Palmital,PR
